 ds score
100 /data/archive/crg/crgceilpblhtS2.a0 100.0
101 /data/archive/crg/crgceilpblhtS2.b1 100.0
102 /data/archive/crg/crgceilpblhtS7.a0 100.0
103 /data/archive/crg/crgceilpblhtS7.b1 100.0
104 /data/archive/crg/crgcldtypeM1.c1 100.0
105 /data/archive/crg/crgcsphotalmv3M1.a1 100.0
106 /data/archive/crg/crgcsphotaodfiltqav3M1.a1 100.0
107 /data/archive/crg/crgcsphotaodfiltv3M1.a1 100.0
108 /data/archive/crg/crgcsphotaodv3M1.a1 100.0
109 /data/archive/crg/crgcsphothybv3M1.a1 100.0
110 /data/archive/crg/crgcsphotsdafiltqav3M1.a1 100.0
111 /data/archive/crg/crgcsphotsdafiltv3M1.a1 100.0
112 /data/archive/crg/crgcsphotsdalunarfiltv3M1.a1 85.6
113 /data/archive/crg/crgcsphotsdalunarv3M1.a1 84.31372549019608
114 /data/archive/crg/crgcsphotsdav3M1.a1 100.0
115 /data/archive/crg/crgcsphotzenradv3M1.a1 100.0
116 /data/archive/crg/crgecorsfS2.b1 98.52941176470588
117 /data/archive/crg/crgecorsfS3.b1 100.0
118 /data/archive/crg/crgecorsfS5.b1 100.0
119 /data/archive/crg/crgecorsfS6.b1 100.0
120 /data/archive/crg/crggndirtM1.b1 98.03149606299212
121 /data/archive/crg/crggndrad1sM1.a0 98.28326180257511
122 /data/archive/crg/crggndrad1sS2.a0 97.97160243407708
123 /data/archive/crg/crggndrad1sS3.a0 98.59484777517564
124 /data/archive/crg/crggndrad60sM1.b1 88.95463510848126
125 /data/archive/crg/crggndrad60sS2.b1 96.579476861167
126 /data/archive/crg/crggndrad60sS3.b1 98.3644859813084
127 /data/archive/crg/crggriddedsondeM1.c0 100.0
128 /data/archive/crg/crggriddedsondeS2.c0 100.0
129 /data/archive/crg/crginterpolatedsondeM1.c1 100.0
130 /data/archive/crg/crginterpolatedsondeS2.c1 100.0
131 /data/archive/crg/crgirt200msM1.a1 98.23182711198429
132 /data/archive/crg/crgirtM1.b1 98.22834645669292
133 /data/archive/crg/crgldM1.b1 99.62756052141528
134 /data/archive/crg/crgldS2.b1 98.60788863109049
135 /data/archive/crg/crgldS3.b1 99.51219512195122
136 /data/archive/crg/crgldquantsM1.c1 100.0
137 /data/archive/crg/crgldquantsS2.c1 100.0
138 /data/archive/crg/crgldquantsS3.c1 100.0
139 /data/archive/crg/crgmawsM1.b1 99.52267303102626
140 /data/archive/crg/crgmawsS2.b1 98.74476987447699
141 /data/archive/crg/crgmergedsmpsapsS2.c1 100.0
142 /data/archive/crg/crgmetM1.b1 98.53747714808044
143 /data/archive/crg/crgmetwxtM1.b1 100.0
144 /data/archive/crg/crgmetwxtS2.b1 100.0
145 /data/archive/crg/crgmetwxtS3.b1 100.0
146 /data/archive/crg/crgmfr7nch10mM1.a0 98.09976247030879
147 /data/archive/crg/crgmfr7nch10mM1.b1 98.09976247030879
148 /data/archive/crg/crgmfrsr7nchM1.a0 97.41935483870968
149 /data/archive/crg/crgmfrsr7nchM1.b1 97.41935483870968
150 /data/archive/crg/crgmfrsr7nchS2.a0 98.59154929577466
151 /data/archive/crg/crgmfrsr7nchS2.b1 98.59154929577466
152 /data/archive/crg/crgmfrsr7nchS3.a0 99.06103286384976
153 /data/archive/crg/crgmfrsr7nchS3.b1 99.06103286384976
154 /data/archive/crg/crgmfrsr7nchaod1michM1.c1 100.0
155 /data/archive/crg/crgmfrsr7nchaod1michS2.c1 100.0
156 /data/archive/crg/crgmfrsr7nchaod1michS3.c1 100.0
157 /data/archive/crg/crgmfrsr7nchcalM1.c1 100.0
158 /data/archive/crg/crgmfrsr7nchcalS2.c1 100.0
159 /data/archive/crg/crgmfrsr7nchcalS3.c1 100.0
160 /data/archive/crg/crgmfrsr7nchlangleyM1.c1 100.0
161 /data/archive/crg/crgmfrsr7nchlangleyS2.c1 100.0
162 /data/archive/crg/crgmfrsr7nchlangleyS3.c1 100.0
163 /data/archive/crg/crgmfrsr7nchlangplotM1.c1 0.12239902080783338
164 /data/archive/crg/crgmfrsr7nchlangplotS2.c1 0.0
165 /data/archive/crg/crgmfrsr7nchlangplotS3.c1 0.23980815347721318
166 /data/archive/crg/crgmfrsraux7nchM1.a0 97.41935483870968
167 /data/archive/crg/crgmfrsraux7nchS2.a0 98.58823529411765
168 /data/archive/crg/crgmfrsraux7nchS3.a0 99.06103286384976
169 /data/archive/crg/crgmplpolfsM1.b1 97.3913043478261
170 /data/archive/crg/crgmwr3cM1.b1 99.04761904761905
